Date,Weight,BMI,Fat
2016-05-01,169.02,24.95,20.125
2016-05-02,169.07,24.96,20.15
2016-05-03,169.12,24.96,20.175
2016-05-04,169.16,24.97,20.2
2016-05-05,169.21,24.98,20.225
2016-05-06,169.25,24.98,20.25
2016-05-07,169.3,24.99,20.275
2016-05-08,169.35,25,20.3
2016-05-09,169.39,25,20.325
2016-05-10,169.44,25.01,20.35
2016-05-11,169.49,25.02,20.375
2016-05-12,169.53,25.02,20.4
2016-05-13,169.58,25.03,20.425
2016-05-14,169.63,25.04,20.45
2016-05-15,169.67,25.05,20.475
2016-05-16,169.72,25.05,20.5
2016-05-17,169.76,25.06,20.525
2016-05-18,169.81,25.07,20.55
2016-05-19,169.86,25.07,20.575
2016-05-20,169.9,25.08,20.6
2016-05-21,169.95,25.09,20.625
2016-05-22,170,25.09,20.65
2016-05-23,170.04,25.1,20.675
2016-05-24,170.09,25.11,20.7
2016-05-25,170.13,25.11,20.725
2016-05-26,170.18,25.12,20.75
2016-05-27,170.23,25.13,20.775
2016-05-28,170.28,25.13,20.819
2016-05-29,169.78,25.06,20.606
2016-05-30,169.29,24.99,20.393
2016-05-31,168.79,24.92,20.18
